Image,Crop,Disease,Status,Confidence (%),Recommendation
08f6ed0a-4cd0-4bd3-8983-469002cad2d9___GHLB2 Leaf 9078.JPG,Tomato,Late_blight,Disease Detected,99.89,Remove infected plant material and avoid prolonged leaf wetness. Consider appropriate fungicide management.
2939e3f2-d0c5-462c-b652-8cf4ef87d844___RS_Late.B 6600.JPG,Tomato,Late_blight,Disease Detected,95.12,Remove infected plant material and avoid prolonged leaf wetness. Consider appropriate fungicide management.
4de5d2c4-bed5-436a-95e2-bcf43a1723fd___GHLB2 Leaf 8727.JPG,Tomato,Late_blight,Disease Detected,99.33,Remove infected plant material and avoid prolonged leaf wetness. Consider appropriate fungicide management.
62474b8c-4625-4d73-ab6a-5e1d328a9cd4___GHLB2 Leaf 9038.JPG,Tomato,Late_blight,Disease Detected,99.77,Remove infected plant material and avoid prolonged leaf wetness. Consider appropriate fungicide management.
6edd59f3-d87c-4583-a931-0f32a2748a79___RS_Late.B 4922.JPG,Tomato,Target_Spot,Disease Detected,64.1,Remove affected plant material and improve field sanitation and airflow.
c49f101c-9495-4a82-aabe-5f3adb220ef0___RS_Late.B 6597.JPG,Tomato,Late_blight,Disease Detected,96.05,Remove infected plant material and avoid prolonged leaf wetness. Consider appropriate fungicide management.
ce90a66b-6d07-4fc1-89bd-af0de0c5dee1___GHLB2 Leaf 108.JPG,Tomato,Late_blight,Disease Detected,92.86,Remove infected plant material and avoid prolonged leaf wetness. Consider appropriate fungicide management.
1ba00fc3-a45b-4d23-94da-5e090ba7f3d3___RS_Late.B 6403.JPG,Tomato,Late_blight,Disease Detected,59.06,Remove infected plant material and avoid prolonged leaf wetness. Consider appropriate fungicide management.
1def69ef-c2f3-4052-8f02-b397428c7580___GHLB2 Leaf 8627.JPG,Tomato,Late_blight,Disease Detected,59.2,Remove infected plant material and avoid prolonged leaf wetness. Consider appropriate fungicide management.
9125266c-1269-43ff-b813-2052f3d16a9d___GHLB2 Leaf 8536.JPG,Tomato,Late_blight,Disease Detected,100.0,Remove infected plant material and avoid prolonged leaf wetness. Consider appropriate fungicide management.
0736fe9f-bd15-4a85-ab6e-2b570b10f377___GHLB2 Leaf 64.1.JPG,Tomato,Late_blight,Disease Detected,90.1,Remove infected plant material and avoid prolonged leaf wetness. Consider appropriate fungicide management.
d91538d7-1e25-442d-8963-86fec71a6545___RS_Late.B 6365.JPG,Tomato,Late_blight,Disease Detected,99.64,Remove infected plant material and avoid prolonged leaf wetness. Consider appropriate fungicide management.
1e0c01b6-5d75-47ea-b455-c9508882424a___RS_Late.B 6886.JPG,Tomato,Late_blight,Disease Detected,83.5,Remove infected plant material and avoid prolonged leaf wetness. Consider appropriate fungicide management.
d3d532b0-4927-4818-a12c-709ce0134435___GHLB2 Leaf 9051.JPG,Tomato,Late_blight,Disease Detected,99.67,Remove infected plant material and avoid prolonged leaf wetness. Consider appropriate fungicide management.
745086e9-2e07-48e3-809e-7448e14332ef___GHLB2 Leaf 134.2.JPG,Tomato,Late_blight,Disease Detected,83.99,Remove infected plant material and avoid prolonged leaf wetness. Consider appropriate fungicide management.
29eb16c9-e283-46f3-b373-4cfb2cd511d2___GHLB2 Leaf 9055.JPG,Tomato,Late_blight,Disease Detected,95.07,Remove infected plant material and avoid prolonged leaf wetness. Consider appropriate fungicide management.
10019e40-277e-4d69-8dee-8c034a3752a1___GHLB2ES Leaf 62.JPG,Tomato,Late_blight,Disease Detected,47.6,Remove infected plant material and avoid prolonged leaf wetness. Consider appropriate fungicide management.
d7b354a6-7044-408d-85ee-b34576e901a4___RS_Late.B 4872.JPG,Tomato,Late_blight,Disease Detected,67.06,Remove infected plant material and avoid prolonged leaf wetness. Consider appropriate fungicide management.
5f473bdb-1899-4877-8d8f-df2e94996d1f___RS_Late.B 6266.JPG,Tomato,Late_blight,Disease Detected,69.77,Remove infected plant material and avoid prolonged leaf wetness. Consider appropriate fungicide management.
ec3d3481-5b97-446c-a1e7-c97334166a50___RS_Late.B 7029.JPG,Tomato,Late_blight,Disease Detected,97.85,Remove infected plant material and avoid prolonged leaf wetness. Consider appropriate fungicide management.
